# Wavelength, Molecular Absorption, Ozone, Rayleigh Scattering, Aerosol Extinction
1.900000000e+03	8.153928722e-06	7.348590186e-01	7.344974316e-01	7.307122240e-01
1.900006333e+03	5.288559670e-06	9.697180373e-01	9.692408924e-01	9.642459545e-01
1.900012667e+03	1.424238806e-06	9.990754146e-01	9.985838310e-01	9.934376935e-01
1.900019000e+03	2.329574736e-07	9.999928327e-01	9.995008044e-01	9.943499605e-01
1.900025334e+03	2.729438310e-08	1.000000000e+00	9.995079750e-01	9.943571132e-01
1.900031667e+03	2.260218453e-09	1.000000000e+00	9.995079818e-01	9.943571391e-01
1.900038000e+03	1.236186289e-10	1.000000000e+00	9.995079886e-01	9.943571650e-01
1.900044334e+03	4.093112700e-12	1.000000000e+00	9.995079954e-01	9.943571909e-01
1.900050667e+03	7.645801012e-14	1.000000000e+00	9.995080023e-01	9.943572168e-01
1.900057001e+03	1.062990535e-15	1.000000000e+00	9.995080091e-01	9.943572426e-01
1.900063334e+03	0.000000000e+00	1.000000000e+00	9.995080159e-01	9.943572685e-01
1.900069668e+03	0.000000000e+00	1.000000000e+00	9.995080227e-01	9.943572944e-01
1.900076002e+03	1.546168051e-16	1.000000000e+00	9.995080295e-01	9.943573203e-01
1.900082335e+03	0.000000000e+00	1.000000000e+00	9.995080363e-01	9.943573462e-01
1.900088669e+03	1.546168051e-16	1.000000000e+00	9.995080431e-01	9.943573721e-01
1.900095002e+03	3.092336102e-16	1.000000000e+00	9.995080500e-01	9.943573979e-01
1.900101336e+03	3.478878115e-16	1.000000000e+00	9.995080568e-01	9.943574238e-01
1.900107670e+03	8.890466293e-16	1.000000000e+00	9.995080636e-01	9.943574497e-01
1.900114003e+03	9.723464330e-14	1.000000000e+00	9.995080704e-01	9.943574756e-01
1.900120337e+03	5.749599841e-12	1.000000000e+00	9.995080772e-01	9.943575015e-01
1.900126671e+03	1.902975706e-10	1.000000000e+00	9.995080840e-01	9.943575274e-01
1.900133005e+03	3.870406384e-09	1.000000000e+00	9.995080908e-01	9.943575532e-01
1.900139338e+03	5.087830086e-08	1.000000000e+00	9.995080977e-01	9.943575791e-01
1.900145672e+03	4.510727471e-07	1.000000000e+00	9.995081045e-01	9.943576050e-01
1.900152006e+03	2.803387893e-06	1.000000000e+00	9.995081113e-01	9.943576309e-01
1.900158340e+03	1.285173382e-05	1.000000000e+00	9.995081181e-01	9.943576568e-01
1.900164674e+03	4.666461347e-05	1.000000000e+00	9.995081249e-01	9.943576826e-01
1.900171008e+03	1.418043157e-04	1.000000000e+00	9.995081317e-01	9.943577085e-01
1.900177342e+03	3.701828725e-04	1.000000000e+00	9.995081385e-01	9.943577344e-01
1.900183676e+03	8.374426594e-04	1.000000000e+00	9.995081453e-01	9.943577603e-01
1.900190010e+03	1.673397156e-03	1.000000000e+00	9.995081522e-01	9.943577862e-01
1.900196343e+03	3.043474653e-03	1.000000000e+00	9.995081590e-01	9.943578120e-01
1.900202677e+03	5.129084288e-03	1.000000000e+00	9.995081658e-01	9.943578379e-01
1.900209011e+03	8.053231770e-03	1.000000000e+00	9.995081726e-01	9.943578638e-01
1.900215346e+03	1.188862780e-02	1.000000000e+00	9.995081794e-01	9.943578897e-01
1.900221680e+03	1.675327370e-02	1.000000000e+00	9.995081862e-01	9.943579156e-01
1.900228014e+03	2.274157722e-02	1.000000000e+00	9.995081930e-01	9.943579414e-01
1.900234348e+03	2.977349067e-02	1.000000000e+00	9.995081998e-01	9.943579673e-01
1.900240682e+03	3.771329549e-02	1.000000000e+00	9.995082067e-01	9.943579932e-01
1.900247016e+03	4.660107908e-02	1.000000000e+00	9.995082135e-01	9.943580191e-01
1.900253350e+03	5.646539819e-02	1.000000000e+00	9.995082203e-01	9.943580450e-01
1.900259684e+03	6.707834847e-02	1.000000000e+00	9.995082271e-01	9.943580708e-01
1.900266019e+03	7.818058594e-02	1.000000000e+00	9.995082339e-01	9.943580967e-01
1.900272353e+03	8.976273800e-02	1.000000000e+00	9.995082407e-01	9.943581226e-01
1.900278687e+03	1.018901886e-01	1.000000000e+00	9.995082475e-01	9.943581485e-01
1.900285021e+03	1.143387674e-01	1.000000000e+00	9.995082543e-01	9.943581744e-01
1.900291356e+03	1.267890132e-01	1.000000000e+00	9.995082612e-01	9.943582002e-01
1.900297690e+03	1.392054196e-01	1.000000000e+00	9.995082680e-01	9.943582261e-01
1.900304024e+03	1.516689354e-01	1.000000000e+00	9.995082748e-01	9.943582520e-01
1.900310359e+03	1.640427107e-01	1.000000000e+00	9.995082816e-01	9.943582779e-01
1.900316693e+03	1.762505857e-01	1.000000000e+00	9.995082884e-01	9.943583038e-01
1.900323027e+03	1.883082402e-01	1.000000000e+00	9.995082952e-01	9.943583296e-01
1.900329362e+03	1.999797490e-01	1.000000000e+00	9.995083020e-01	9.943583555e-01
1.900335696e+03	2.110540314e-01	1.000000000e+00	9.995083088e-01	9.943583814e-01
1.900342031e+03	2.215955718e-01	1.000000000e+00	9.995083156e-01	9.943584073e-01
1.900348365e+03	2.316861049e-01	1.000000000e+00	9.995083224e-01	9.943584332e-01
1.900354700e+03	2.411527359e-01	1.000000000e+00	9.995083293e-01	9.943584590e-01
1.900361034e+03	2.498371859e-01	1.000000000e+00	9.995083361e-01	9.943584849e-01
1.900367369e+03	2.577772542e-01	1.000000000e+00	9.995083429e-01	9.943585108e-01
1.900373703e+03	2.649146443e-01	1.000000000e+00	9.995083497e-01	9.943585367e-01
1.900380038e+03	2.710336565e-01	1.000000000e+00	9.995083565e-01	9.943585625e-01
1.900386373e+03	2.758933937e-01	1.000000000e+00	9.995083633e-01	9.943585884e-01
1.900392707e+03	2.793276212e-01	1.000000000e+00	9.995083701e-01	9.943586143e-01
1.900399042e+03	2.811353600e-01	1.000000000e+00	9.995083769e-01	9.943586402e-01
1.900405377e+03	2.809810857e-01	1.000000000e+00	9.995083837e-01	9.943586660e-01
1.900411711e+03	2.785885963e-01	1.000000000e+00	9.995083905e-01	9.943586919e-01
1.900418046e+03	2.735736331e-01	1.000000000e+00	9.995083974e-01	9.943587178e-01
1.900424381e+03	2.652761968e-01	1.000000000e+00	9.995084042e-01	9.943587437e-01
1.900430715e+03	2.532039681e-01	1.000000000e+00	9.995084110e-01	9.943587696e-01
1.900437050e+03	2.371423264e-01	1.000000000e+00	9.995084178e-01	9.943587954e-01
1.900443385e+03	2.167676944e-01	1.000000000e+00	9.995084246e-01	9.943588213e-01
1.900449720e+03	1.916572125e-01	1.000000000e+00	9.995084314e-01	9.943588472e-01
1.900456055e+03	1.618679368e-01	1.000000000e+00	9.995084382e-01	9.943588731e-01
1.900462390e+03	1.283429594e-01	1.000000000e+00	9.995084450e-01	9.943588989e-01
1.900468724e+03	9.295876556e-02	1.000000000e+00	9.995084518e-01	9.943589248e-01
1.900475059e+03	5.920272452e-02	1.000000000e+00	9.995084586e-01	9.943589507e-01
1.900481394e+03	3.191884359e-02	1.000000000e+00	9.995084654e-01	9.943589766e-01
1.900487729e+03	1.422438474e-02	1.000000000e+00	9.995084722e-01	9.943590024e-01
1.900494064e+03	5.315702500e-03	1.000000000e+00	9.995084791e-01	9.943590283e-01
1.900500399e+03	2.109683120e-03	1.000000000e+00	9.995084859e-01	9.943590542e-01
1.900506734e+03	2.313627583e-03	1.000000000e+00	9.995084927e-01	9.943590801e-01
1.900513069e+03	6.213250192e-03	1.000000000e+00	9.995084995e-01	9.943591059e-01
1.900519404e+03	1.685381956e-02	1.000000000e+00	9.995085063e-01	9.943591318e-01
1.900525739e+03	3.804553906e-02	1.000000000e+00	9.995085131e-01	9.943591577e-01
1.900532074e+03	7.075116143e-02	1.000000000e+00	9.995085199e-01	9.943591836e-01
1.900538410e+03	1.119638157e-01	1.000000000e+00	9.995085267e-01	9.943592094e-01
1.900544745e+03	1.575601293e-01	1.000000000e+00	9.995085335e-01	9.943592353e-01
