wl_micron,transit_cm
1.099999897610372,1600537799.551430702209473
1.100000997610820,1600537871.948551654815674
1.100002097612367,1600537973.749069690704346
1.100003197615015,1600538097.788574934005737
1.100004297618763,1600538231.864906549453735
1.100005397623610,1600538368.467268943786621
1.100006497629558,1600538505.289898872375488
1.100007597636605,1600538641.904522895812988
1.100008697644753,1600538778.349387168884277
1.100009797654000,1600538914.769725561141968
1.100010897664348,1600539051.247365236282349
1.100011997675796,1600539187.786228418350220
1.100013097688343,1600539324.371286869049072
1.100014197701991,1600539460.990933895111084
1.100015297716738,1600539597.632442474365234
1.100016397732586,1600539734.283570528030396
1.100017497749534,1600539870.936885356903076
1.100018597767581,1600540007.589490413665771
1.100019697786729,1600540144.240766525268555
1.100020797806977,1600540280.891290664672852
1.100021897828325,1600540417.543293714523315
1.100022997850773,1600540554.201883316040039
1.100024097874320,1600540690.876900672912598
1.100025197898968,1600540827.588989019393921
1.100026297924716,1600540964.380991220474243
1.100027397951564,1600541101.309900999069214
1.100028497979512,1600541238.382519245147705
1.100029598008560,1600541375.474871397018433
1.100030698038708,1600541512.361216783523560
1.100031798069956,1600541648.884247303009033
1.100032898102304,1600541785.102391481399536
1.100033998135752,1600541921.244560480117798
1.100035098170300,1600542057.522893905639648
1.100036198205948,1600542194.004961490631104
1.100037298242696,1600542330.632673978805542
1.100038398280544,1600542467.306957483291626
1.100039498319493,1600542603.957791328430176
1.100040598359541,1600542740.570161581039429
1.100041698400689,1600542877.156344413757324
1.100042798442938,1600543013.720678567886353
1.100043898486286,1600543150.266921281814575
1.100044998530735,1600543286.814990997314453
1.100046098576283,1600543423.386298656463623
1.100047198622932,1600543559.983212947845459
1.100048298670680,1600543696.591288566589355
1.100049398719529,1600543833.195290327072144
1.100050498769478,1600543969.792135953903198
1.100051598820527,1600544106.392887353897095
1.100052698872675,1600544243.013847589492798
1.100053798925924,1600544379.660831451416016
1.100054898980273,1600544516.315289974212646
1.100055999035722,1600544652.943071842193604
1.100057099092271,1600544789.530595779418945
1.100058199149920,1600544926.102719306945801
1.100059299208670,1600545062.687359809875488
1.100060399268519,1600545199.275913000106812
1.100061499329468,1600545335.839991807937622
1.100062599391517,1600545472.374852180480957
1.100063699454667,1600545608.903811216354370
1.100064799518916,1600545745.447833538055420
1.100065899584266,1600545882.009078979492188
1.100066999650716,1600546018.579552173614502
1.100068099718265,1600546155.152536630630493
1.100069199786915,1600546291.725651264190674
1.100070299856665,1600546428.299930810928345
1.100071399927515,1600546564.878679275512695
1.100072499999464,1600546701.464606523513794
1.100073600072514,1600546838.055437564849854
1.100074700146664,1600546974.646718978881836
1.100075800221915,1600547111.248788356781006
1.100076900298265,1600547247.903197526931763
1.100078000375715,1600547384.669670104980469
1.100079100454266,1600547521.567968845367432
1.100080200533916,1600547658.501612424850464
1.100081300614666,1600547795.263956069946289
1.100082400696517,1600547931.701883316040039
1.100083500779468,1600548067.885305166244507
1.100084600863519,1600548204.053072690963745
1.100085700948670,1600548340.421246528625488
1.100086801034920,1600548477.118503808975220
1.100087901122272,1600548614.228304624557495
1.100089001210723,1600548751.710516214370728
1.100090101300274,1600548889.273667335510254
1.100091201390925,1600549026.553916215896606
1.100092301482677,1600549163.462171316146851
1.100093401575528,1600549300.077630281448364
1.100094501669479,1600549436.286756038665771
1.100095601764531,1600549571.964046716690063
1.100096701860683,1600549707.375563859939575
1.100097801957935,1600549842.982537746429443
1.100098902056287,1600549978.978380918502808
1.100100002155739,1600550115.256314754486084
1.100101102256291,1600550251.664786577224731
1.100102202357943,1600550388.134546041488647
1.100103302460696,1600550524.651193618774414
1.100104402564548,1600550661.210633277893066
1.100105502669501,1600550797.794131517410278
1.100106602775553,1600550934.359643697738647
1.100107702882706,1600551070.866768360137939
1.100108802990959,1600551207.316401004791260
1.100109903100312,1600551343.753535509109497
1.100111003210765,1600551480.231555938720703
1.100112103322319,1600551616.768234252929688
1.100113203434972,1600551753.313253402709961
1.100114303548725,1600551889.777323961257935
1.100115403663579,1600552026.136896610260010
1.100116503779532,1600552162.495045661926270
1.100117603896586,1600552298.991732835769653
1.100118704014740,1600552435.645294904708862
1.100119804133994,1600552572.310126781463623
1.100120904254348,1600552708.818996667861938
1.100122004375803,1600552845.136247158050537
1.100123104498357,1600552981.328078985214233
1.100124204622012,1600553117.458955764770508
1.100125304746766,1600553253.595868825912476
1.100126404872621,1600553389.846586227416992
1.100127504999576,1600553526.322443723678589
1.100128605127631,1600553663.051452875137329
1.100129705256786,1600553799.892379522323608
1.100130805387041,1600553936.557947158813477
1.100131905518397,1600554072.833409309387207
1.100133005650852,1600554208.785115718841553
1.100134105784408,1600554344.675945520401001
1.100135205919063,1600554480.705347776412964
1.100136306054819,1600554616.900159120559692
1.100137406191676,1600554753.196439027786255
1.100138506329632,1600554889.535209894180298
1.100139606468689,1600555025.889876127243042
1.100140706608845,1600555162.260278224945068
1.100141806750101,1600555298.666922330856323
1.100142906892458,1600555435.137081623077393
1.100144007035915,1600555571.664308071136475
1.100145107180472,1600555708.174601078033447
1.100146207326129,1600555844.576319694519043
1.100147307472887,1600555980.880785942077637
1.100148407620744,1600556117.261759042739868
1.100149507769702,1600556253.971140623092651
1.100150607919760,1600556391.119677543640137
1.100151708070918,1600556528.426158189773560
1.100152808223176,1600556665.276664733886719
1.100153908376534,1600556801.282196521759033
1.100155008530993,1600556936.730804920196533
1.100156108686551,1600557072.269991636276245
1.100157208843210,1600557208.242847204208374
1.100158309000969,1600557344.503041267395020
1.100159409159828,1600557480.751146793365479
1.100160509319787,1600557616.875111579895020
1.100161609480846,1600557752.969375371932983
1.100162709643006,1600557889.148077249526978
1.100163809806266,1600558025.441314697265625
1.100164909970625,1600558161.857977867126465
1.100166010136085,1600558298.461996316909790
1.100167110302646,1600558435.298832893371582
1.100168210470306,1600558572.218208789825439
1.100169310639066,1600558708.881271123886108
1.100170410808927,1600558845.067198753356934
1.100171510979888,1600558980.893353223800659
1.100172611151949,1600559116.649314880371094
1.100173711325110,1600559252.535140752792358
1.100174811499372,1600559388.606965541839600
1.100175911674733,1600559524.835963487625122
1.100177011851195,1600559661.151303768157959
1.100178112028757,1600559797.483323812484741
1.100179212207419,1600559933.808632850646973
1.100180312387181,1600560070.144907236099243
1.100181412568044,1600560206.497749567031860
1.100182512750006,1600560342.835360050201416
1.100183612933069,1600560479.121883869171143
1.100184713117232,1600560615.354269504547119
1.100185813302495,1600560751.558864593505859
1.100186913488858,1600560887.766105890274048
1.100188013676322,1600561023.991724014282227
1.100189113864886,1600561160.232771635055542
1.100190214054550,1600561296.481610059738159
1.100191314245314,1600561432.748726606369019
1.100192414437178,1600561569.068389177322388
1.100193514630142,1600561705.472604274749756
1.100194614824207,1600561841.948281526565552
1.100195715019372,1600561978.414516210556030
1.100196815215637,1600562114.760092735290527
1.100197915413002,1600562250.933686494827271
1.100199015611468,1600562386.998638868331909
1.100200115811033,1600562523.082447052001953
1.100201216011699,1600562659.279117584228516
1.100202316213465,1600562795.596990108489990
1.100203416416331,1600562931.962165594100952
1.100204516620298,1600563068.267756938934326
1.100205616825364,1600563204.460657119750977
1.100206717031531,1600563340.588949918746948
1.100207817238799,1600563476.746292114257812
1.100208917447166,1600563612.978799581527710
1.100210017656633,1600563749.257477283477783
1.100211117867201,1600563885.526668071746826
1.100212218078869,1600564021.759454011917114
1.100213318291637,1600564157.962638139724731
1.100214418505506,1600564294.149998664855957
1.100215518720474,1600564430.332340478897095
1.100216618936543,1600564566.522071123123169
1.100217719153712,1600564702.726934909820557
1.100218819371981,1600564838.942311286926270
1.100219919591351,1600564975.160505056381226
1.100221019811820,1600565111.384114980697632
1.100222120033390,1600565247.621852397918701
1.100223220256060,1600565383.872575521469116
1.100224320479830,1600565520.123932361602783
1.100225420704701,1600565656.379708051681519
1.100226520930672,1600565792.695813417434692
1.100227621157743,1600565929.187681674957275
1.100228721385914,1600566065.980417251586914
1.100229821615186,1600566203.076145648956299
1.100230921845558,1600566340.191136598587036
1.100232022077029,1600566476.816931724548340
1.100233122309601,1600566612.661156415939331
1.100234222543274,1600566748.012134075164795
1.100235322778046,1600566883.467978239059448
1.100236423013919,1600567019.350626707077026
1.100237523250892,1600567155.532904148101807
1.100238623488966,1600567291.731326580047607
1.100239723728139,1600567427.798288583755493
1.100240823968413,1600567563.768519401550293
1.100241924209787,1600567699.763174533843994
1.100243024452261,1600567835.889330387115479
1.100244124695836,1600567972.167437314987183
1.100245224940511,1600568108.505931854248047
1.100246325186286,1600568244.767359018325806
1.100247425433161,1600568380.896128416061401
1.100248525681136,1600568516.970912218093872
1.100249625930212,1600568653.131918907165527
1.100250726180388,1600568789.493858098983765
1.100251826431665,1600568926.074139356613159
1.100252926684041,1600569062.697392225265503
1.100254026937518,1600569199.043641328811646
1.100255127192095,1600569334.946102380752563
1.100256227447772,1600569470.583854198455811
1.100257327704550,1600569606.277861595153809
1.100258427962427,1600569742.198624610900879
1.100259528221405,1600569878.334471464157104
1.100260628481484,1600570014.604373455047607
1.100261728742662,1600570150.905618906021118
1.100262829004941,1600570287.131637573242188
1.100263929268321,1600570423.242067813873291
1.100265029532800,1600570559.306613683700562
1.100266129798379,1600570695.436102628707886
1.100267230065059,1600570831.671475410461426
1.100268330332839,1600570967.944563865661621
1.100269430601720,1600571104.142228364944458
1.100270530871700,1600571240.220273017883301
1.100271631142781,1600571376.249667406082153
1.100272731414962,1600571512.332673072814941
1.100273831688244,1600571648.489018917083740
1.100274931962626,1600571784.648681163787842
1.100276032238108,1600571920.745111942291260
1.100277132514691,1600572056.785767078399658
1.100278232792373,1600572192.827060937881470
1.100279333071156,1600572328.911237716674805
1.100280433351039,1600572465.048105955123901
1.100281533632022,1600572601.242216825485229
1.100282633914106,1600572737.511196613311768
1.100283734197290,1600572873.855310201644897
1.100284834481574,1600573010.212966442108154
1.100285934766959,1600573146.499681234359741
1.100287035053443,1600573282.706078290939331
1.100288135341029,1600573418.875843048095703
1.100289235629714,1600573554.981384992599487
1.100290335919500,1600573690.945559978485107
1.100291436210386,1600573826.792972326278687
1.100292536502373,1600573962.657364130020142
1.100293636795459,1600574098.637849092483521
1.100294737089646,1600574234.728046894073486
1.100295837384933,1600574370.868843793869019
1.100296937681321,1600574507.011899948120117
1.100298037978808,1600574643.133945465087891
1.100299138277397,1600574779.224340438842773
1.100300238577085,1600574915.281536340713501
1.100301338877874,1600575051.320417165756226
1.100302439179763,1600575187.364764213562012
1.100303539482752,1600575323.426842927932739
1.100304639786842,1600575459.505068778991699
1.100305740092031,1600575595.599074602127075
1.100306840398322,1600575731.712573528289795
1.100307940705712,1600575867.840049743652344
1.100309041014203,1600576003.965611219406128
1.100310141323794,1600576140.088464736938477
1.100311241634485,1600576276.240284442901611
1.100312341946277,1600576412.450541257858276
1.100313442259169,1600576548.692692279815674
1.100314542573162,1600576684.904140949249268
1.100315642888254,1600576821.072690248489380
1.100316743204447,1600576957.243257284164429
1.100317843521740,1600577093.413759708404541
1.100318943840134,1600577229.500796318054199
1.100320044159628,1600577365.446153402328491
1.100321144480223,1600577501.303395271301270
1.100322244801917,1600577637.196425676345825
1.100323345124712,1600577773.220903635025024
1.100324445448608,1600577909.387593269348145
1.100325545773603,1600578045.619553565979004
1.100326646099699,1600578181.786356210708618
1.100327746426895,1600578317.796871185302734
1.100328846755191,1600578453.691623210906982
1.100329947084588,1600578589.595735311508179
1.100331047415085,1600578725.577224493026733
1.100332147746683,1600578861.606336832046509
1.100333248079381,1600578997.632936239242554
1.100334348413179,1600579133.637270450592041
1.100335448748077,1600579269.618011474609375
1.100336549084076,1600579405.584105730056763
1.100337649421176,1600579541.556259632110596
1.100338749759375,1600579677.551985740661621
1.100339850098675,1600579813.573387622833252
1.100340950439075,1600579949.614448070526123
1.100342050780576,1600580085.669996023178101
1.100343151123177,1600580221.733000040054321
1.100344251466878,1600580357.791259050369263
