wl_micron,transit_cm
1.899998481006972,1634417718.988149642944336
1.900000381006403,1634417828.630409479141235
1.900002281007733,1634417985.088117361068726
1.900004181010964,1634418167.583681106567383
1.900006081016095,1634418341.336372613906860
1.900007981023126,1634418491.872575998306274
1.900009881032057,1634418630.834175109863281
1.900011781042888,1634418772.667134046554565
1.900013681055619,1634418921.363513946533203
1.900015581070250,1634419075.764309406280518
1.900017481086781,1634419235.087204217910767
1.900019381105213,1634419398.471139430999756
1.900021281125543,1634419564.349700927734375
1.900023181147774,1634419731.248555421829224
1.900025081171906,1634419898.339935541152954
1.900026981197936,1634420065.472780942916870
1.900028881225868,1634420233.096498727798462
1.900030781255699,1634420402.167469978332520
1.900032681287430,1634420573.631325006484985
1.900034581321061,1634420747.065937757492065
1.900036481356593,1634420919.813571691513062
1.900038381394024,1634421088.911327362060547
1.900040281433355,1634421254.326496124267578
1.900042181474587,1634421418.967620134353638
1.900044081517718,1634421585.552793264389038
1.900045981562749,1634421755.109810590744019
1.900047881609681,1634421929.030338048934937
1.900049781658513,1634422110.417399883270264
1.900051681709244,1634422299.169845104217529
1.900053581761876,1634422485.529372453689575
1.900055481816408,1634422655.504398345947266
1.900057381872840,1634422805.866820812225342
1.900059281931171,1634422948.105195760726929
1.900061181991404,1634423096.143608331680298
1.900063082053535,1634423255.134802341461182
1.900064982117567,1634423421.584582805633545
1.900066882183499,1634423589.346416473388672
1.900068782251331,1634423754.770911455154419
1.900070682321063,1634423918.228104114532471
1.900072582392696,1634424081.942350625991821
1.900074482466228,1634424247.247566699981689
1.900076382541660,1634424414.011320829391479
1.900078282618993,1634424581.565838336944580
1.900080182698226,1634424749.930815696716309
1.900082082779358,1634424921.948945999145508
1.900083982862391,1634425106.855732202529907
1.900085882947324,1634425321.173092126846313
1.900087783034157,1634425575.916914463043213
1.900089683122890,1634425849.223324060440063
1.900091583213523,1634426080.791479587554932
1.900093483306056,1634426222.898006439208984
1.900095383400489,1634426296.208170652389526
1.900097283496823,1634426369.783940076828003
1.900099183595056,1634426496.690996170043945
1.900101083695190,1634426689.459577322006226
1.900102983797223,1634426933.521133899688721
1.900104883901157,1634427193.533102750778198
1.900106784006991,1634427417.004477739334106
1.900108684114725,1634427563.876916646957397
1.900110584224360,1634427644.293899297714233
1.900112484335893,1634427710.784470319747925
1.900114384449328,1634427807.387770175933838
1.900116284564662,1634427940.771190643310547
1.900118184681897,1634428095.959298372268677
1.900120084801032,1634428259.374030828475952
1.900121984922066,1634428425.077592611312866
1.900123885045001,1634428591.452857255935669
1.900125785169836,1634428758.164897203445435
1.900127685296572,1634428925.101674079895020
1.900129585425207,1634429092.180751323699951
1.900131485555742,1634429259.427280664443970
1.900133385688177,1634429427.399794816970825
1.900135285822513,1634429598.454091548919678
1.900137185958749,1634429778.557628870010376
1.900139086096885,1634429975.640643119812012
1.900140986236921,1634430188.929066419601440
1.900142886378857,1634430397.610460996627808
1.900144786522694,1634430572.550963401794434
1.900146686668430,1634430707.537439107894897
1.900148586816067,1634430826.817618608474731
1.900150486965604,1634430957.152556419372559
1.900152387117040,1634431105.889364719390869
1.900154287270378,1634431266.559334993362427
1.900156187425615,1634431431.958630800247192
1.900158087582753,1634431598.648002624511719
1.900159987741790,1634431765.617788314819336
1.900161887902728,1634431932.657029151916504
1.900163788065566,1634432099.720838785171509
1.900165688230304,1634432266.803113222122192
1.900167588396942,1634432433.926935434341431
1.900169488565481,1634432601.136242866516113
1.900171388735919,1634432768.472033023834229
1.900173288908258,1634432935.946469783782959
1.900175189082496,1634433103.529883146286011
1.900177089258636,1634433271.159348726272583
1.900178989436675,1634433438.957789421081543
1.900180889616614,1634433608.109201192855835
1.900182789798454,1634433782.143501758575439
1.900184689982194,1634433966.076970577239990
1.900186590167834,1634434160.228186368942261
1.900188490355374,1634434353.221149682998657
1.900190390544815,1634434527.540399312973022
1.900192290736155,1634434677.459676027297974
1.900194190929396,1634434815.794780015945435
1.900196091124537,1634434959.391955614089966
1.900197991321578,1634435115.183539390563965
1.900199891520520,1634435282.730739116668701
1.900201791721361,1634435462.850166559219360
1.900203691924102,1634435657.366176366806030
1.900205592128745,1634435859.097154140472412
1.900207492335287,1634436048.081482648849487
1.900209392543730,1634436208.052661418914795
1.900211292754072,1634436345.146583080291748
1.900213192966315,1634436480.354620456695557
1.900215093180458,1634436627.137280941009521
1.900216993396501,1634436784.783953666687012
1.900218893614444,1634436947.698251962661743
1.900220793834288,1634437112.575068950653076
1.900222694056033,1634437278.443827867507935
1.900224594279676,1634437444.948158502578735
1.900226494505221,1634437611.791421175003052
1.900228394732665,1634437778.819081544876099
1.900230294962010,1634437946.125180244445801
1.900232195193255,1634438114.151732444763184
1.900234095426400,1634438283.571527481079102
1.900235995661445,1634438454.477945804595947
1.900237895898392,1634438625.340879201889038
1.900239796137238,1634438793.626116275787354
1.900241696377983,1634438958.343222856521606
1.900243596620630,1634439121.222339630126953
1.900245496865177,1634439284.720436334609985
1.900247397111624,1634439449.817545413970947
1.900249297359971,1634439616.084729671478271
1.900251197610218,1634439782.829850435256958
1.900253097862366,1634439949.685382366180420
1.900254998116414,1634440116.604370117187500
1.900256898372361,1634440283.887107372283936
1.900258798630210,1634440452.863864421844482
1.900260698889959,1634440627.565882205963135
1.900262599151608,1634440815.454968452453613
1.900264499415157,1634441021.619281053543091
1.900266399680606,1634441236.112875223159790
1.900268299947956,1634441432.123004674911499
1.900270200217206,1634441589.431822061538696
1.900272100488357,1634441716.954149723052979
1.900274000761408,1634441841.047534942626953
1.900275901036358,1634441978.567433118820190
1.900277801313210,1634442130.192442417144775
1.900279701591960,1634442290.436928510665894
1.900281601872612,1634442454.875264406204224
1.900283502155165,1634442621.071238517761230
1.900285402439616,1634442787.835517644882202
1.900287302725969,1634442954.697935342788696
1.900289203014221,1634443121.557001352310181
1.900291103304375,1634443288.435915708541870
1.900293003596428,1634443455.351071119308472
1.900294903890382,1634443622.287347316741943
1.900296804186235,1634443789.248944997787476
1.900298704483989,1634443956.359734058380127
1.900300604783644,1634444124.154963493347168
1.900302505085200,1634444294.377779483795166
1.900304405388654,1634444470.994548559188843
1.900306305694009,1634444659.374142169952393
1.900308206001266,1634444861.538625955581665
1.900310106310422,1634445070.687247991561890
1.900312006621478,1634445271.748478174209595
1.900313906934435,1634445448.689001083374023
1.900315807249292,1634445594.840707778930664
1.900317707566049,1634445721.042383670806885
1.900319607884707,1634445851.472077846527100
1.900321508205265,1634446007.975154399871826
1.900323408527722,1634446197.450715780258179
1.900325308852081,1634446405.835067272186279
1.900327209178340,1634446601.379483938217163
1.900329109506500,1634446758.637878417968750
1.900331009836560,1634446883.928106307983398
1.900332910168520,1634447005.702743530273438
1.900334810502380,1634447143.667359828948975
1.900336710838140,1634447298.108788967132568
1.900338611175801,1634447461.231637001037598
1.900340511515362,1634447627.296768188476562
1.900342411856824,1634447794.028531789779663
1.900344312200186,1634447960.838349819183350
1.900346212545448,1634448127.636338233947754
1.900348112892610,1634448294.437590837478638
1.900350013241673,1634448461.276845216751099
