wl_micron,transit_cm
1.499999967904260,1587074050.033782720565796
1.500001467904978,1587074143.403017997741699
1.500002967907196,1587074274.650243282318115
1.500004467910914,1587074434.470222473144531
1.500005967916132,1587074607.087188243865967
1.500007467922850,1587074782.907611131668091
1.500008967931068,1587074959.173265457153320
1.500010467940786,1587075135.471706628799438
1.500011967952004,1587075311.768873929977417
1.500013467964722,1587075488.063155174255371
1.500014967978940,1587075664.354507207870483
1.500016467994658,1587075840.642927646636963
1.500017968011876,1587076016.928417921066284
1.500019468030594,1587076193.210977554321289
1.500020968050811,1587076369.490606784820557
1.500022468072530,1587076545.767305612564087
1.500023968095748,1587076722.041074275970459
1.500025468120466,1587076898.311912536621094
1.500026968146684,1587077074.579821109771729
1.500028468174402,1587077250.844799995422363
1.500029968203620,1587077427.106848239898682
1.500031468234338,1587077603.365967512130737
1.500032968266556,1587077779.622157335281372
1.500034468300275,1587077955.875416755676270
1.500035968335493,1587078132.125747442245483
1.500037468372211,1587078308.373148202896118
1.500038968410430,1587078484.617620229721069
1.500040468450148,1587078660.859163045883179
1.500041968491366,1587078837.097777128219604
1.500043468534085,1587079013.333461999893188
1.500044968578303,1587079189.566218137741089
1.500046468624022,1587079365.796045780181885
1.500047968671240,1587079542.022944450378418
1.500049468719959,1587079718.246914863586426
1.500050968770178,1587079894.467957019805908
1.500052468821896,1587080070.686070442199707
1.500053968875115,1587080246.901256322860718
1.500055468929834,1587080423.113513708114624
1.500056968986053,1587080599.322843313217163
1.500058469043771,1587080775.529244661331177
1.500059969102991,1587080951.732718467712402
1.500061469163710,1587081127.933264732360840
1.500062969225929,1587081304.130883216857910
1.500064469289648,1587081480.325574398040771
1.500065969354868,1587081656.517338275909424
1.500067469421587,1587081832.706174612045288
1.500068969489806,1587082008.892083644866943
1.500070469559525,1587082185.075065851211548
1.500071969630745,1587082361.255120992660522
1.500073469703465,1587082537.432249784469604
1.500074969777685,1587082713.606451272964478
1.500076469853405,1587082889.777726650238037
1.500077969930624,1587083065.946074485778809
1.500079470009344,1587083242.111496686935425
1.500080970089564,1587083418.273992300033569
1.500082470171284,1587083594.433562517166138
1.500083970254504,1587083770.590205669403076
1.500085470339225,1587083946.743922472000122
1.500086970425445,1587084122.894713878631592
1.500088470513165,1587084299.042579650878906
1.500089970602386,1587084475.187519311904907
1.500091470693106,1587084651.329533338546753
1.500092970785327,1587084827.468622207641602
1.500094470879048,1587085003.604784965515137
1.500095970974268,1587085179.738023281097412
1.500097471070989,1587085355.868335723876953
1.500098971169210,1587085531.995723247528076
1.500100471268932,1587085708.120186090469360
1.500101971370153,1587085884.241723537445068
1.500103471472874,1587086060.360336065292358
1.500104971577096,1587086236.476024389266968
1.500106471682817,1587086412.588787794113159
1.500107971790039,1587086588.698626518249512
1.500109471898761,1587086764.805541276931763
1.500110972008983,1587086940.909531831741333
