wl_micron,transit_cm
1.099999897610372,1600537799.543106794357300
1.100000997610820,1600537871.922841310501099
1.100002097612367,1600537973.665750026702881
1.100003197615015,1600538097.558591365814209
1.100004297618763,1600538231.372123241424561
1.100005397623610,1600538367.669486999511719
1.100006497629558,1600538504.312514305114746
1.100007597636605,1600538640.981479406356812
1.100008697644753,1600538777.649976968765259
1.100009797654000,1600538914.316757440567017
1.100010897664348,1600539050.981786251068115
1.100011997675796,1600539187.645063877105713
1.100013097688343,1600539324.306589603424072
1.100014197701991,1600539460.966363430023193
1.100015297716738,1600539597.624386310577393
1.100016397732586,1600539734.280657768249512
1.100017497749534,1600539870.935177087783813
1.100018597767581,1600540007.587945461273193
1.100019697786729,1600540144.238962173461914
1.100020797806977,1600540280.888227701187134
1.100021897828325,1600540417.535742044448853
1.100022997850773,1600540554.181504964828491
1.100024097874320,1600540690.825516939163208
1.100025197898968,1600540827.467777490615845
1.100026297924716,1600540964.108287096023560
1.100027397951564,1600541100.747045755386353
1.100028497979512,1600541237.384052991867065
1.100029598008560,1600541374.019309759140015
1.100030698038708,1600541510.652815818786621
1.100031798069956,1600541647.284570455551147
1.100032898102304,1600541783.914574861526489
1.100033998135752,1600541920.542828083038330
1.100035098170300,1600542057.169330596923828
1.100036198205948,1600542193.794082880020142
1.100037298242696,1600542330.417084455490112
1.100038398280544,1600542467.038335561752319
1.100039498319493,1600542603.657836198806763
1.100040598359541,1600542740.275586366653442
1.100041698400689,1600542876.891585588455200
1.100042798442938,1600543013.505835294723511
1.100043898486286,1600543150.118334531784058
1.100044998530735,1600543286.729083061218262
1.100046098576283,1600543423.338082075119019
1.100047198622932,1600543559.945330142974854
1.100048298670680,1600543696.550828695297241
1.100049398719529,1600543833.154577493667603
1.100050498769478,1600543969.756575584411621
1.100051598820527,1600544106.356824159622192
1.100052698872675,1600544242.955322742462158
1.100053798925924,1600544379.552071332931519
1.100054898980273,1600544516.147070407867432
1.100055999035722,1600544652.740320205688477
1.100057099092271,1600544789.331819534301758
1.100058199149920,1600544925.921569347381592
1.100059299208670,1600545062.509569644927979
1.100060399268519,1600545199.095820426940918
1.100061499329468,1600545335.680321693420410
1.100062599391517,1600545472.263073921203613
1.100063699454667,1600545608.844076156616211
1.100064799518916,1600545745.423329353332520
1.100065899584266,1600545882.000833511352539
1.100066999650716,1600546018.576587915420532
1.100068099718265,1600546155.150593757629395
1.100069199786915,1600546291.722849845886230
1.100070299856665,1600546428.293357372283936
1.100071399927515,1600546564.862115859985352
1.100072499999464,1600546701.429124593734741
1.100073600072514,1600546837.994384765625000
1.100074700146664,1600546974.557895898818970
1.100075800221915,1600547111.119658708572388
1.100076900298265,1600547247.679672241210938
1.100078000375715,1600547384.237937211990356
1.100079100454266,1600547520.794453859329224
1.100080200533916,1600547657.349221467971802
1.100081300614666,1600547793.902240753173828
1.100082400696517,1600547930.453510761260986
1.100083500779468,1600548067.003033399581909
1.100084600863519,1600548203.550806522369385
1.100085700948670,1600548340.096832036972046
1.100086801034920,1600548476.641108989715576
1.100087901122272,1600548613.183637857437134
1.100089001210723,1600548749.724417686462402
1.100090101300274,1600548886.263450384140015
1.100091201390925,1600549022.800734043121338
1.100092301482677,1600549159.336269617080688
1.100093401575528,1600549295.870057821273804
1.100094501669479,1600549432.402097463607788
1.100095601764531,1600549568.932389259338379
1.100096701860683,1600549705.460933685302734
1.100097801957935,1600549841.987729787826538
1.100098902056287,1600549978.512778282165527
1.100100002155739,1600550115.036078929901123
1.100101102256291,1600550251.557631492614746
1.100102202357943,1600550388.077437639236450
1.100103302460696,1600550524.595494985580444
1.100104402564548,1600550661.111801624298096
1.100105502669501,1600550797.626307964324951
1.100106602775553,1600550934.138567447662354
1.100107702882706,1600551070.646193981170654
1.100108802990959,1600551207.141902923583984
1.100109903100312,1600551343.613943338394165
1.100111003210765,1600551480.055212020874023
1.100112103322319,1600551616.470975875854492
1.100113203434972,1600551752.872865915298462
1.100114303548725,1600551889.269107103347778
1.100115403663579,1600552025.662802696228027
1.100116503779532,1600552162.054647684097290
1.100117603896586,1600552298.444740295410156
1.100118704014740,1600552434.833088159561157
1.100119804133994,1600552571.219692707061768
1.100120904254348,1600552707.604552984237671
1.100122004375803,1600552843.987669706344604
1.100123104498357,1600552980.369042873382568
1.100124204622012,1600553116.748672008514404
1.100125304746766,1600553253.126557826995850
1.100126404872621,1600553389.502700090408325
1.100127504999576,1600553525.877099037170410
1.100128605127631,1600553662.249754428863525
1.100129705256786,1600553798.620666503906250
1.100130805387041,1600553934.989835262298584
1.100131905518397,1600554071.357260942459106
1.100133005650852,1600554207.722942829132080
1.100134105784408,1600554344.086882114410400
1.100135205919063,1600554480.449078083038330
1.100136306054819,1600554616.809530735015869
1.100137406191676,1600554753.168240785598755
1.100138506329632,1600554889.525207519531250
1.100139606468689,1600555025.880431413650513
1.100140706608845,1600555162.233912706375122
1.100141806750101,1600555298.585650682449341
1.100142906892458,1600555434.935645818710327
1.100144007035915,1600555571.283898591995239
1.100145107180472,1600555707.630409002304077
1.100146207326129,1600555843.975176095962524
1.100147307472887,1600555980.318200826644897
1.100148407620744,1600556116.659483432769775
1.100149507769702,1600556252.999022960662842
1.100150607919760,1600556389.336820125579834
1.100151708070918,1600556525.672874927520752
1.100152808223176,1600556662.007188081741333
1.100153908376534,1600556798.339758157730103
1.100155008530993,1600556934.670586109161377
1.100156108686551,1600557070.999672412872314
1.100157208843210,1600557207.327015638351440
1.100158309000969,1600557343.652617692947388
1.100159409159828,1600557479.976477384567261
1.100160509319787,1600557616.298594951629639
1.100161609480846,1600557752.618970870971680
1.100162709643006,1600557888.937604665756226
1.100163809806266,1600558025.254496574401855
1.100164909970625,1600558161.569646835327148
1.100166010136085,1600558297.883054971694946
1.100167110302646,1600558434.194722175598145
1.100168210470306,1600558570.504646778106689
1.100169310639066,1600558706.812830209732056
1.100170410808927,1600558843.119272470474243
1.100171510979888,1600558979.423973083496094
1.100172611151949,1600559115.726932287216187
1.100173711325110,1600559252.028149843215942
1.100174811499372,1600559388.327625989913940
1.100175911674733,1600559524.625360727310181
1.100177011851195,1600559660.921355009078979
1.100178112028757,1600559797.215607404708862
1.100179212207419,1600559933.508118391036987
1.100180312387181,1600560069.798888683319092
1.100181412568044,1600560206.087918281555176
1.100182512750006,1600560342.375205993652344
1.100183612933069,1600560478.660753965377808
1.100184713117232,1600560614.944560050964355
1.100185813302495,1600560751.226625680923462
1.100186913488858,1600560887.506950139999390
1.100188013676322,1600561023.785534381866455
1.100189113864886,1600561160.062377452850342
1.100190214054550,1600561296.337480068206787
1.100191314245314,1600561432.610842227935791
1.100192414437178,1600561568.882463693618774
1.100193514630142,1600561705.152344942092896
1.100194614824207,1600561841.420484781265259
1.100195715019372,1600561977.686885118484497
1.100196815215637,1600562113.951545000076294
1.100197915413002,1600562250.214464426040649
1.100199015611468,1600562386.475643396377563
1.100200115811033,1600562522.735082626342773
1.100201216011699,1600562658.992781400680542
1.100202316213465,1600562795.248740196228027
1.100203416416331,1600562931.502958297729492
1.100204516620298,1600563067.755437374114990
1.100205616825364,1600563204.006175994873047
1.100206717031531,1600563340.255174398422241
1.100207817238799,1600563476.502433300018311
1.100208917447166,1600563612.747951984405518
1.100210017656633,1600563748.991731405258179
1.100211117867201,1600563885.233770847320557
1.100212218078869,1600564021.474070787429810
1.100213318291637,1600564157.712631464004517
1.100214418505506,1600564293.949452161788940
1.100215518720474,1600564430.184533357620239
1.100216618936543,1600564566.417874813079834
1.100217719153712,1600564702.649477005004883
1.100218819371981,1600564838.879340171813965
1.100219919591351,1600564975.107463598251343
1.100221019811820,1600565111.333847999572754
1.100222120033390,1600565247.558492660522461
1.100223220256060,1600565383.781399011611938
1.100224320479830,1600565520.002565860748291
1.100225420704701,1600565656.221993446350098
1.100226520930672,1600565792.439682006835938
1.100227621157743,1600565928.655631542205811
1.100228721385914,1600566064.869842529296875
1.100229821615186,1600566201.082314968109131
1.100230921845558,1600566337.293047904968262
1.100232022077029,1600566473.502042055130005
1.100233122309601,1600566609.709297180175781
1.100234222543274,1600566745.914814233779907
1.100235322778046,1600566882.118592023849487
1.100236423013919,1600567018.320632219314575
1.100237523250892,1600567154.520932912826538
1.100238623488966,1600567290.719496011734009
1.100239723728139,1600567426.916320562362671
1.100240823968413,1600567563.111406087875366
1.100241924209787,1600567699.304753541946411
1.100243024452261,1600567835.496362924575806
1.100244124695836,1600567971.686233758926392
1.100245224940511,1600568107.874366283416748
1.100246325186286,1600568244.060760974884033
1.100247425433161,1600568380.245417356491089
1.100248525681136,1600568516.428335905075073
1.100249625930212,1600568652.609516620635986
1.100250726180388,1600568788.788959503173828
1.100251826431665,1600568924.966663837432861
1.100252926684041,1600569061.142630815505981
1.100254026937518,1600569197.316859960556030
1.100255127192095,1600569333.489351034164429
1.100256227447772,1600569469.660104513168335
1.100257327704550,1600569605.829120397567749
1.100258427962427,1600569741.996399164199829
1.100259528221405,1600569878.161939620971680
1.100260628481484,1600570014.325743198394775
1.100261728742662,1600570150.487809181213379
1.100262829004941,1600570286.648137569427490
1.100263929268321,1600570422.806728839874268
1.100265029532800,1600570558.963582515716553
1.100266129798379,1600570695.118699073791504
1.100267230065059,1600570831.272078275680542
1.100268330332839,1600570967.423720359802246
1.100269430601720,1600571103.573625326156616
1.100270530871700,1600571239.721793651580811
1.100271631142781,1600571375.868224382400513
1.100272731414962,1600571512.012918710708618
1.100273831688244,1600571648.155875921249390
1.100274931962626,1600571784.297096252441406
1.100276032238108,1600571920.436579465866089
1.100277132514691,1600572056.574326276779175
1.100278232792373,1600572192.710335969924927
1.100279333071156,1600572328.844609737396240
1.100280433351039,1600572464.977146863937378
1.100281533632022,1600572601.107946634292603
1.100282633914106,1600572737.237010478973389
