wl_micron,transit_cm
1.899998481006972,1634417696.711459159851074
1.900000381006403,1634417785.292107343673706
1.900002281007733,1634417909.808268547058105
1.900004181010964,1634418061.432073593139648
1.900006081016095,1634418225.196932077407837
1.900007981023126,1634418392.001362085342407
1.900009881032057,1634418559.228602647781372
1.900011781042888,1634418726.487360477447510
1.900013681055619,1634418893.745321989059448
1.900015581070250,1634419061.000958919525146
1.900017481086781,1634419228.254228115081787
1.900019381105213,1634419395.505129337310791
1.900021281125543,1634419562.753662347793579
1.900023181147774,1634419729.999827861785889
1.900025081171906,1634419897.243625640869141
1.900026981197936,1634420064.485054969787598
1.900028881225868,1634420231.724116563796997
1.900030781255699,1634420398.960811138153076
1.900032681287430,1634420566.195137739181519
1.900034581321061,1634420733.427097082138062
1.900036481356593,1634420900.656689405441284
1.900038381394024,1634421067.883913278579712
1.900040281433355,1634421235.108770847320557
1.900042181474587,1634421402.331260204315186
1.900044081517718,1634421569.551383256912231
1.900045981562749,1634421736.769138813018799
1.900047881609681,1634421903.984526872634888
1.900049781658513,1634422071.197548866271973
1.900051681709244,1634422238.408203125000000
1.900053581761876,1634422405.616491079330444
1.900055481816408,1634422572.822412490844727
1.900057381872840,1634422740.025966644287109
1.900059281931171,1634422907.227154254913330
1.900061181991404,1634423074.425975561141968
1.900063082053535,1634423241.622430562973022
1.900064982117567,1634423408.816518545150757
1.900066882183499,1634423576.008239984512329
1.900068782251331,1634423743.197595834732056
1.900070682321063,1634423910.384585142135620
1.900072582392696,1634424077.569208621978760
1.900074482466228,1634424244.751465797424316
1.900076382541660,1634424411.931356906890869
1.900078282618993,1634424579.108881711959839
1.900080182698226,1634424746.284041404724121
1.900082082779358,1634424913.456834793090820
1.900083982862391,1634425080.627262353897095
1.900085882947324,1634425247.795324087142944
1.900087783034157,1634425414.961020231246948
1.900089683122890,1634425582.124351024627686
1.900091583213523,1634425749.285315990447998
1.900093483306056,1634425916.443916320800781
1.900095383400489,1634426083.600150585174561
1.900097283496823,1634426250.754019737243652
1.900099183595056,1634426417.905523538589478
1.900101083695190,1634426585.054662942886353
1.900102983797223,1634426752.201436281204224
1.900104883901157,1634426919.345844984054565
1.900106784006991,1634427086.487888574600220
1.900108684114725,1634427253.627567768096924
1.900110584224360,1634427420.764881610870361
1.900112484335893,1634427587.899831056594849
1.900114384449328,1634427755.032415628433228
1.900116284564662,1634427922.162636041641235
1.900118184681897,1634428089.290491104125977
1.900120084801032,1634428256.415982007980347
1.900121984922066,1634428423.539108991622925
1.900123885045001,1634428590.659870624542236
1.900125785169836,1634428757.778268575668335
1.900127685296572,1634428924.894302606582642
1.900129585425207,1634429092.007972002029419
1.900131485555742,1634429259.119277715682983
1.900133385688177,1634429426.228218793869019
1.900135285822513,1634429593.334796190261841
1.900137185958749,1634429760.439009904861450
1.900139086096885,1634429927.540859937667847
1.900140986236921,1634430094.640345811843872
1.900142886378857,1634430261.737468242645264
1.900144786522694,1634430428.832227230072021
1.900146686668430,1634430595.924622058868408
1.900148586816067,1634430763.014653921127319
1.900150486965604,1634430930.102322578430176
1.900152387117040,1634431097.187627315521240
1.900154287270378,1634431264.270568847656250
1.900156187425615,1634431431.351147413253784
1.900158087582753,1634431598.429362773895264
1.900159987741790,1634431765.505215406417847
1.900161887902728,1634431932.578704595565796
1.900163788065566,1634432099.649830579757690
1.900165688230304,1634432266.718594789505005
1.900167588396942,1634432433.784995317459106
1.900169488565481,1634432600.849033355712891
1.900171388735919,1634432767.910708665847778
1.900173288908258,1634432934.970021009445190
1.900175189082496,1634433102.026970863342285
1.900177089258636,1634433269.081558704376221
1.900178989436675,1634433436.133784055709839
1.900180889616614,1634433603.183647155761719
1.900182789798454,1634433770.231147527694702
1.900184689982194,1634433937.276285886764526
1.900186590167834,1634434104.319062232971191
1.900188490355374,1634434271.359476566314697
1.900190390544815,1634434438.397528886795044
1.900192290736155,1634434605.433219194412231
1.900194190929396,1634434772.466547489166260
1.900196091124537,1634434939.497514247894287
1.900197991321578,1634435106.526118993759155
1.900199891520520,1634435273.552362442016602
1.900201791721361,1634435440.576243877410889
1.900203691924102,1634435607.597764492034912
1.900205592128745,1634435774.616923332214355
1.900207492335287,1634435941.633720397949219
1.900209392543730,1634436108.648156166076660
1.900211292754072,1634436275.660230875015259
1.900213192966315,1634436442.669944286346436
1.900215093180458,1634436609.677296400070190
1.900216993396501,1634436776.682287693023682
1.900218893614444,1634436943.684917926788330
1.900220793834288,1634437110.685187578201294
1.900222694056033,1634437277.683095455169678
1.900224594279676,1634437444.678643941879272
1.900226494505221,1634437611.671830415725708
1.900228394732665,1634437778.662657022476196
1.900230294962010,1634437945.651122570037842
1.900232195193255,1634438112.637227773666382
1.900234095426400,1634438279.620972633361816
1.900235995661445,1634438446.602356910705566
1.900237895898392,1634438613.581380844116211
1.900239796137238,1634438780.558044910430908
1.900241696377983,1634438947.532348394393921
1.900243596620630,1634439114.504291534423828
1.900245496865177,1634439281.473875284194946
1.900247397111624,1634439448.441098213195801
1.900249297359971,1634439615.405961751937866
1.900251197610218,1634439782.368465423583984
1.900253097862366,1634439949.328609466552734
1.900254998116414,1634440116.286393404006958
1.900256898372361,1634440283.241817712783813
1.900258798630210,1634440450.194882392883301
1.900260698889959,1634440617.145588397979736
1.900262599151608,1634440784.093933820724487
1.900264499415157,1634440951.039920568466187
1.900266399680606,1634441117.983547449111938
1.900268299947956,1634441284.924815416336060
1.900270200217206,1634441451.863723754882812
1.900272100488357,1634441618.800273895263672
1.900274000761408,1634441785.734464645385742
1.900275901036358,1634441952.666295528411865
1.900277801313210,1634442119.595768451690674
1.900279701591960,1634442286.522881984710693
1.900281601872612,1634442453.447637081146240
1.900283502155165,1634442620.370033502578735
1.900285402439616,1634442787.290071010589600
1.900287302725969,1634442954.207749843597412
1.900289203014221,1634443121.123070716857910
1.900291103304375,1634443288.036032676696777
1.900293003596428,1634443454.946636438369751
1.900294903890382,1634443621.854882001876831
1.900296804186235,1634443788.760768651962280
1.900298704483989,1634443955.664297819137573
1.900300604783644,1634444122.565468788146973
1.900302505085200,1634444289.464281320571899
1.900304405388654,1634444456.360735893249512
1.900306305694009,1634444623.254833221435547
